,train_r2,cv_r2,test_r2,train_mae,cv_mae,test_mae,test_rmse
XGB,0.9935134690893235,0.8377236507083843,0.8738986335471912,0.8262936631089426,6.90455071706584,5.464183455599154,10.024666884692165
HistGB,0.9905167247895139,0.8415756087383108,0.8638459784573121,1.5252189701666783,6.8528198555241016,5.6191529151445065,10.416583283822622
LGB,0.9844307625588143,0.842827667581083,0.8749029889757306,1.9499912475984564,6.875477573856552,5.791672399183578,9.984665507835723
KNN,0.9955781190033546,0.731048676324755,0.7582746712944777,0.08192651439920556,8.030707558519007,7.72766901371772,13.879414104463999
Cubist,0.9247550451702801,0.7803522363601101,0.792056856443903,4.342877402242336,8.5973366562358,8.1019870704746,12.873076683905445
RF,0.9028899474606338,0.7714500664501542,0.8007454304700682,5.743501969141001,9.118420106591753,8.348915176466082,12.601266567331061
ANN,0.6088965878218009,0.505603075551682,0.5693657984470013,13.27223579131846,15.173965768181498,14.106181110092141,18.525260058221793
LR,0.4396172826666147,0.3764699571917337,0.4389747467368983,16.908627340226463,17.652553409455784,17.224503444183988,21.14468691439501
