,train_r2,cv_r2,test_r2,train_mae,cv_mae,test_mae,test_rmse
HistGB,0.9916872409630746,0.8361208287117721,0.8614655554757272,1.5951652249905373,6.9262138841621805,5.762909115685649,10.507246903776766
XGB,0.9944759964626158,0.8345821020856874,0.8505820047851931,0.9648882748296386,6.8213485664862485,5.806184894773383,10.91217962569797
RF,0.9101754661304837,0.7746091186933276,0.802616900189031,5.456191608082211,8.992845422212941,8.256542464944788,12.541949169589243
Cubist,0.938259388767058,0.7844585521855951,0.7818929953973764,3.663216508991875,8.373084688793602,8.566764631515937,13.183929149481983
