,train_r2,cv_r2,test_r2,train_mae,cv_mae,test_mae,test_rmse
XGB,0.9886310344576451,0.842506418162331,0.8723914363624362,1.5765653466693657,6.936522835640012,5.472683956664483,10.084397682183463
HistGB,0.9928337116374729,0.8396394759627821,0.8710293389674901,1.2536464306030526,6.93020575772677,5.492540918590505,10.138075395188164
KNN,0.9955781190033546,0.7280588280425804,0.7654001792011256,0.08192651439920556,8.132497459588372,7.678379032731166,13.67331729175386
Cubist,0.925352217107056,0.7763495680282635,0.7919228578992844,4.252372718934868,8.495650702468064,8.159297787527724,12.877223720704093
RF,0.9026262291655573,0.7722445923409409,0.7988791776239829,5.7578558090889755,9.092623949102407,8.365934533315446,12.660141853370485
ANN,0.6160957945182168,0.5055002989736858,0.5661892757151905,13.006890729520807,15.08429464005611,13.891225835303189,18.593459228635908
LR,0.4408493609489931,0.3876508140027456,0.4428628243310557,16.899461367626834,17.467602685210046,17.14062883490337,21.071289934847304
