,train_r2,cv_r2,test_r2,train_mae,cv_mae,test_mae,test_rmse
HistGB,0.9945530874278133,0.8374571970345132,0.8774340630451595,1.0171856382408133,6.7662907959794465,5.169227436048587,9.883140025453102
LGB,0.9835410342640706,0.8347198131846474,0.8857929864323524,1.9600598961605156,7.015733315165652,5.28682879520978,9.540177199418437
XGB,0.9912458822118744,0.8359079260549859,0.8643473885680757,1.0040141323647076,6.9880031637683,5.611408262698144,10.397385181483813
KNN,0.9903109948808465,0.7176498216844375,0.7754792489559584,0.2552300562727574,8.160451676330972,7.38845705094592,13.376370732211996
RF,0.9013735217627304,0.7715666477403653,0.7998504851842314,5.748969110694139,9.09284651051966,8.293047656808316,12.629533947668667
Cubist,0.9164002964760268,0.7794346835805637,0.7837080378230219,4.695396022171485,8.37392027696435,8.349034851450192,13.128957547572867
ANN,0.6092512817757166,0.5166025462791339,0.5635830004030518,13.180201772906493,15.006335335664602,14.19486732048857,18.649229065688388
LR,0.3986419674496795,0.3544935112467069,0.4068359652752688,17.675671235677907,18.177556254759985,18.202956933923556,21.741898256281708
