,train_r2,cv_r2,test_r2,train_mae,cv_mae,test_mae,test_rmse
Cubist,0.9951556412634142,0.9464937266801334,0.9840527001022895,3.119910166517172,12.420754854796288,7.70207636234007,19.958477879560355
HistGB,0.999771897568938,0.9189650181962874,0.9713934005884401,0.7388233355816065,15.07556606994972,9.291469599209366,26.731107566383578
XGB,0.998421935369952,0.9386599909462505,0.9734478296993382,1.5846293993393648,15.587267765818712,10.00881010257809,25.753357032769905
KNN,0.9999976818100631,0.9103008462895522,0.9539914098846041,0.009780439121756487,14.645914960659047,10.18769034973705,33.90028105426234
RF,0.9602054803081728,0.873942451670817,0.975796590260993,12.452344076568075,21.095825761062695,10.663639554679863,24.587938196127794
ANN,0.840985122383445,0.789256126210647,0.9170352456611038,34.18853943615393,38.89389867994957,29.33927300793957,45.52297666914122
LR,0.7564696916337201,0.7222078856000643,0.8513541158826464,46.85422240127532,48.637056504744855,38.291593005291574,60.93408310207606
