study,model,n_rows,mae,rmse,r2
Chaerin Park_2025,HistGB,46,37.45543602597151,45.47326664410842,-1.4002824917881092
Fernanda G. Corrêa_2025,LR,39,13.290276024372497,17.878860944414406,-0.0935612741636338
Fernanda G. Corrêa_2025,KNN,39,32.013076923076916,35.08617979804175,-3.2114882978472616
Fernanda G. Corrêa_2025,ANN,39,37.00724964283146,41.53940738916688,-4.903152763050259
Fernanda G. Corrêa_2025,Cubist,39,14.107307477119642,17.565662744093903,-0.055583296774275315
Fernanda G. Corrêa_2025,RF,39,19.513869253328757,23.769888225648465,-0.9329370393707124
Fernanda G. Corrêa_2025,XGB,39,19.6969217584072,23.863918773910868,-0.9482601765702816
Fernanda G. Corrêa_2025,HistGB,39,20.899102274516046,25.265076143325036,-1.1837587192041057
Garima Rathee_2020,LR,28,20.258124170818004,33.20743363374602,-0.5203806661116825
Garima Rathee_2020,KNN,28,64.11564910638447,67.90279920374725,-5.357071078032808
Garima Rathee_2020,ANN,28,169.21326388712106,170.9865812517539,-39.30934763018786
Garima Rathee_2020,Cubist,28,43.0351756640843,47.79684353519123,-2.149779453835495
Garima Rathee_2020,RF,28,49.63640014828382,54.11358930323129,-3.0373313491698894
Garima Rathee_2020,XGB,28,60.32634400895664,65.37286870996515,-4.892190749939057
Garima Rathee_2020,HistGB,28,51.805026405933766,57.265259710822704,-3.5213089151626207
Ghulam Mujtaba_2023,LR,20,14.701080957716268,17.811089656542308,-0.16412210470583943
Ghulam Mujtaba_2023,KNN,20,11.885416666666666,13.731278289810538,0.30810611180425607
Ghulam Mujtaba_2023,ANN,20,13.178562511311885,14.464516511737548,0.23224014561547046
Ghulam Mujtaba_2023,Cubist,20,14.392757987976074,19.671966625244213,-0.4200809911736161
Ghulam Mujtaba_2023,RF,20,19.792214515082197,24.653332295162173,-1.2303284035656898
Ghulam Mujtaba_2023,XGB,20,26.91515369415283,30.062937641992995,-2.316502952795711
Ghulam Mujtaba_2023,HistGB,20,14.855121675138033,20.265209825752528,-0.5070226020394728
Hanan Taha_2025,LR,31,46.31728184830117,51.973004833543285,-3.8916325485115717
Hanan Taha_2025,KNN,31,28.33467741935484,32.64053053905478,-0.9293569845690295
Hanan Taha_2025,ANN,31,20.20069700401447,24.524384750799236,-0.08916685132027635
Hanan Taha_2025,Cubist,31,23.616656272642075,27.50681809832924,-0.37018397606248565
Hanan Taha_2025,RF,31,31.020925885580493,36.212525358928,-1.3747385259552871
Hanan Taha_2025,XGB,31,32.15351164725519,38.22147965760739,-1.6455328878653654
Hanan Taha_2025,HistGB,31,31.268365630673685,38.5778116310579,-1.6950904779056097
Hanjun Wu_2017,LR,11,22.284216328148112,22.630436622983954,-30.961207281699956
Hanjun Wu_2017,KNN,11,20.215909090909086,20.60841275150426,-25.50491387126019
Hanjun Wu_2017,ANN,11,20.627580464117873,20.878142708978732,-26.20326505095095
Hanjun Wu_2017,Cubist,11,3.589560595425692,4.043037979998445,-0.020123968152356397
Hanjun Wu_2017,RF,11,9.104214782626013,9.43295515956001,-4.5530661808750885
Hanjun Wu_2017,XGB,11,5.592208862304687,5.9758067233874845,-1.2285911140725063
Hanjun Wu_2017,HistGB,11,18.748969736431164,19.002689087252886,-21.535512272246752
Hatem Kh. MOHAMED_2024,LR,1,8.159898060458943,8.159898060458943,
Hatem Kh. MOHAMED_2024,KNN,1,22.0,22.0,
Hatem Kh. MOHAMED_2024,ANN,1,11.536199898460524,11.536199898460524,
Hatem Kh. MOHAMED_2024,Cubist,1,20.458526611328125,20.458526611328125,
Hatem Kh. MOHAMED_2024,RF,1,22.536423218827835,22.536423218827835,
Hatem Kh. MOHAMED_2024,XGB,1,21.990509033203125,21.990509033203125,
Hatem Kh. MOHAMED_2024,HistGB,1,24.14922486508162,24.14922486508162,
