ad_distance,abs_error
8.993757835444596,37.405522347199934
8.99418067347391,1.9682676286239165
8.994139590934846,6.238865107088028
8.99409903691858,16.23243404916662
8.994059011432222,21.445654999508434
8.994019514482778,36.54440744894039
8.993980546077298,40.79468689041095
8.9939421062226,42.43791797333918
8.993904194925417,37.07600191320056
8.993829958030437,37.676221935669545
8.993369503164974,30.485793606109006
8.99305729754426,10.992824129174934
8.981665759666868,12.833149356379927
8.985034882050101,36.23243404916663
9.005527744808756,42.60141308503846
9.019484451666546,28.076538087258577
9.058335189013578,17.750763920040367
9.119291180372201,10.555331155142472
9.175673550754668,46.70143029926217
9.606317351272704,43.77958800446011
9.815321402944559,38.97958800446011
9.834736615281475,26.97958800446011
8.994563521701474,6.911544907610022
8.994387490141136,5.841991889812423
8.994232661515403,31.95484015876641
8.993986617295198,43.90398190283102
8.993895403439955,43.90398190283102
8.370212075523355,14.156316225582547
8.323825999845536,19.535041846082976
8.257160216708794,7.823567808097238
8.286431734901596,3.6761013204268984
8.240418777913954,2.335458824957307
8.239993761174627,3.486411842763559
8.239701677278173,2.2494658773779577
8.239279316789547,8.294663690420506
8.239042561070733,11.908548026432626
8.238586414726742,21.514753275543114
8.238644467318702,16.643379438652033
8.238585078891058,13.736975497765329
8.23861406998328,15.431178351030105
8.238553548776169,11.974255399607244
8.262175441131522,63.288204528067496
8.26184962124505,62.63026630841003
8.261526091258741,61.445124274615154
8.260885902061093,56.710625058639366
8.260569243381472,51.33066783650795
8.260254875668862,51.5630985579518
8.259942799181074,48.564457425435464
8.259633014179709,41.16713906479618
8.259325520924445,41.01860031452916
8.259020319667568,40.15291417521752
8.258717410665037,43.31042932874834
8.258118470431835,43.31042932874834
8.257237258233546,47.47555927747112
8.256376689680556,48.233754610015495
8.261281414231018,50.06143230612193
8.260955559113949,47.34358882925991
8.260631994141907,42.39217214509558
8.259991735707704,39.69425200271456
8.259675042777438,32.42461449700107
8.25936064105939,26.936647412785142
8.259048530811446,24.43800628026881
8.2587387122953,22.570510590553955
8.258431185770707,22.783138100171957
8.258125951490038,21.02184043322832
8.257823009709334,23.953780709482402
8.257224004656967,22.953780709482402
8.256342697074098,28.392464810795033
8.25548203535141,28.160849100852175
8.260661595979702,47.759279187964786
8.26033571643511,43.373381032531626
8.260012127205316,39.71383449599213
8.259371820765178,34.23746122801325
8.259055104086851,23.258188526133758
8.258740678790751,19.420771280009834
8.258428545134828,16.922130147493505
8.258118703380829,15.207868634113211
8.257811153788577,14.666301971597363
8.257505896610494,13.905004304653723
8.257202932102675,17.625034826923418
8.256603882107218,17.625034826923418
8.25572250838837,23.80174318483627
8.25486178206543,23.63004101598623
8.260316047986919,41.32287521964346
8.25999015482515,36.2183856401619
