,train_r2,cv_r2,test_r2,train_mae,cv_mae,test_mae,test_rmse
XGB,0.9925656671520626,0.837192109687342,0.854648685009287,0.868732717464728,6.7513988608509266,5.4530759478990944,10.356988021736164
HistGB,0.9936703139968792,0.8436342633010868,0.8467145843702834,1.2942037023415012,6.628180338486203,5.8732172818954105,10.635904013505112
KNN,0.9903473445044733,0.7038654336434691,0.7288924778604465,0.2614479787939033,8.382099213366823,7.470685107222529,14.144733690737446
Cubist,0.9265666373325242,0.7776682189275413,0.7792122496212528,4.420548215339049,8.74415946718878,7.834922366496101,12.764725461172857
RF,0.9041212799016536,0.7768570007517491,0.7854661183289693,5.7039788529602555,9.097078978547728,7.895195373352116,12.582644795048452
ANN,0.5920752050752037,0.4911198295130202,0.4969633046874141,13.743258478193257,15.725942904932424,14.942902534057563,19.2674315534358
LR,0.29026624346644025,0.2587832955750586,0.22677482560679207,19.848324748316053,20.20901244846035,20.210533640797635,23.88784563656787
