,train_r2,cv_r2,test_r2,train_mae,cv_mae,test_mae,test_rmse
XGB,0.9254445210964851,-0.06805078339049206,-0.1081244281324718,5.5902073808337365,21.606737320029826,21.752334016884618,26.273037999427366
HistGB,0.8648748096389216,-0.07482668674154765,-0.10097271888001447,7.757987513296254,21.92600995792741,22.679627874361557,26.188119161288355
Cubist,0.9396609144643311,-0.2840129643619875,-0.3337102268943628,4.500764446293748,24.036298946556876,24.57221121937303,28.823503632405753
RF,0.9192301517182342,-0.33067732728265437,-0.4196630876169507,5.253904333812495,24.78730258994277,25.215353841664843,29.73778893998937
LGB,0.9925296546741248,-0.17693795344505198,-0.8405279894629922,1.491594997801838,22.381895877413974,27.15586384755644,33.86002252518482
ANN,0.7075761297907255,-3.3967985468980855,-1.1405265179475532,11.186685084055345,43.56857440122225,28.85795957592245,36.51542298667982
KNN,0.8115678221156333,-0.3053431369121398,-1.0929404324042662,7.884523430147053,24.34230810707957,30.85373593981234,36.10725420495459
LR,0.5167551234249563,-1.774672957753697,-2.763791501574803,16.13638023649679,34.00509593210852,36.97513745996174,48.42044854157387
