,train_r2,cv_r2,test_r2,train_mae,cv_mae,test_mae,test_rmse
XGB,0.9930340405405945,0.8290595516285688,0.832228531366207,1.284772932191881,6.908376926353688,6.032763015707369,11.244419347481827
HistGB,0.9991259659324149,0.8316521435241127,0.8219460632061888,0.5247492984097261,6.7446825475354855,6.180287564821895,11.583872555545067
KNN,0.9371832586416864,0.7354293704132268,0.7686895076208987,3.7498027405441468,8.55598261191003,7.6091915909126975,13.203091928867073
Cubist,0.9121059193245497,0.7867951135747541,0.7742630730922033,5.279694595925922,8.720791043433453,8.413310431882806,13.043053775032885
RF,0.90479724943162,0.7701676515049252,0.7615510863157348,5.824309701535754,9.336871024808918,8.91323158173155,13.405272748722554
ANN,0.6547442910753356,0.5651679464216475,0.5158140157287274,12.295587380834538,14.229094996425767,13.936886848663079,19.102230775047214
LR,0.35595982008110116,0.3189678507922175,0.3027117542204153,18.596454510960037,19.102148909685077,19.067426449022953,22.92367025770928
